id,name_zh,name_en,lat,lon,open_date,close_date,open_dates_raw,close_dates_raw
Q10948005,宏庆站,Hongqing Railway Station,33.843362995,106.423407839,,,,
Q10948264,官亭站,Guanting Railway Station,34.29388889,113.76611111,,,,
Q10948289,官厅西站,Guantingxi Railway Station,40.25224,115.578685,,,,
Q10948331,官塘驿站,Guantangyi Railway Station,29.77755897,114.08976439,,,,
Q10948334,官墩站,Guandun Railway Station,27.191058,117.594505,,,,
Q10948341,官家站,Guanjia Railway Station,40.475472222,124.177083333,,,,
Q10948373,官庄站,Guanzhuang Railway Station,37.19638889,114.50119444,,,,
Q10948499,官高站,Guangao Railway Station,40.225,116.3075,,,,
Q10948513,定兴站,Dingxing Railway Station,39.27222222,115.79833333,,,,
Q10948552,定州站,Dingzhou Railway Station,38.52944444,114.96722222,1901-01-01,,1901-01-01,
Q10948756,定陶站,Dingtao Railway Station,35.06527778,115.59027778,1996-01-01,,1996-01-01,
Q10948806,宜兴站,Yixing Railway Station,31.31451667,119.80888056,2013-01-01,,2013-07-01,
Q10949055,宜春站,Yichun railway station,27.791405,114.431476,,,,
Q10949088,宜良站,Yiliang Railway Station,24.91671,103.13377,,,,
Q10949396,宝幢站,Baozhuang Railway Station,29.841138888,121.7155,,,,
Q10949489,宝莲寺站,Baoliansi Railway Station,36.009444444,114.346388888,1912-01-01,,1912-01-01,
Q10949523,宝鸡东站,Baoji East Railway Station,34.370779,107.184401,,,,
Q10949527,宝鸡站,Baoji railway station,34.3742,107.148,1936-01-01,,1936-01-01,
Q10949525,任家湾站,Renjiawan Railway Station,34.34083333,107.10115833,,,,
Q10949528,宝龙山站,Baolongshan Railway Station,44.02919,122.734873,,,,
Q11146226,洛阳站,Luoyang Railway Station,34.6873,112.4303,1912-01-01,,1912-01-01,
Q11146231,洛阳西站,Luoyangxi Railway Station,34.698445,112.353069,,,,
Q11146330,洞子崖站,Dongziya Railway Station,35.227891666,109.730519444,,,,
Q11129751,水塘站,Shuitang Railway Station,24.95438,102.96716,,,,
